fold,flatBand,slopeLen,adxStrongTh,minScore,cooldown,is_n,is_pf,is_exp,is_win_rate,is_wins,is_losses,is_win3R,is_tp1R,is_sl
0,0.7,5,25,75,50,18,1.9090909090909092,0.5555555555555556,0.3888888888888889,7,11,7,0,11
0,0.7,10,20,50,10,32,1.7,0.4375,0.375,12,20,11,1,20
0,0.7,10,20,50,25,29,1.7222222222222223,0.4482758620689655,0.3793103448275862,11,18,10,1,18
0,0.7,10,20,50,50,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,0.7,10,20,60,10,32,1.7,0.4375,0.375,12,20,11,1,20
0,0.7,10,20,60,25,29,1.7222222222222223,0.4482758620689655,0.3793103448275862,11,18,10,1,18
0,0.7,10,20,60,50,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,0.7,10,20,75,10,32,1.7,0.4375,0.375,12,20,11,1,20
0,0.7,10,20,75,25,29,1.7222222222222223,0.4482758620689655,0.3793103448275862,11,18,10,1,18
0,0.7,10,20,75,50,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,0.7,10,25,50,10,32,1.7,0.4375,0.375,12,20,11,1,20
0,0.7,10,25,50,25,29,1.7222222222222223,0.4482758620689655,0.3793103448275862,11,18,10,1,18
0,0.7,10,25,50,50,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,0.7,10,25,60,10,32,1.7,0.4375,0.375,12,20,11,1,20
0,0.7,10,25,60,25,29,1.7222222222222223,0.4482758620689655,0.3793103448275862,11,18,10,1,18
0,0.7,10,25,60,50,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,0.7,10,25,75,10,32,1.7,0.4375,0.375,12,20,11,1,20
0,0.7,10,25,75,25,29,1.7222222222222223,0.4482758620689655,0.3793103448275862,11,18,10,1,18
0,0.7,10,25,75,50,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,0.7,20,20,50,10,48,1.6,0.375,0.375,18,30,15,3,30
0,0.7,20,20,50,25,39,2.45,0.7435897435897436,0.48717948717948717,19,20,15,4,20
0,0.7,20,20,50,50,33,1.1304347826086956,0.09090909090909091,0.30303030303030304,10,23,8,2,23
0,0.7,20,20,60,10,44,1.7407407407407407,0.45454545454545453,0.38636363636363635,17,27,15,2,27
0,0.7,20,20,60,25,37,2.35,0.7297297297297297,0.4594594594594595,17,20,15,2,20
0,0.7,20,20,60,50,32,1.2727272727272727,0.1875,0.3125,10,22,9,1,22
0,0.7,20,20,75,10,44,1.7407407407407407,0.45454545454545453,0.38636363636363635,17,27,15,2,27
0,0.7,20,20,75,25,37,2.35,0.7297297297297297,0.4594594594594595,17,20,15,2,20
0,0.7,20,20,75,50,32,1.2727272727272727,0.1875,0.3125,10,22,9,1,22
0,0.7,20,25,50,10,48,1.6,0.375,0.375,18,30,15,3,30
0,0.7,20,25,50,25,39,2.45,0.7435897435897436,0.48717948717948717,19,20,15,4,20
0,0.7,20,25,50,50,33,1.1304347826086956,0.09090909090909091,0.30303030303030304,10,23,8,2,23
0,0.7,20,25,60,10,44,1.5714285714285714,0.36363636363636365,0.36363636363636365,16,28,14,2,28
0,0.7,20,25,60,25,37,2.0952380952380953,0.6216216216216216,0.43243243243243246,16,21,14,2,21
0,0.7,20,25,60,50,31,1.1363636363636365,0.0967741935483871,0.2903225806451613,9,22,8,1,22
0,0.7,20,25,75,10,44,1.5714285714285714,0.36363636363636365,0.36363636363636365,16,28,14,2,28
0,0.7,20,25,75,25,37,2.0952380952380953,0.6216216216216216,0.43243243243243246,16,21,14,2,21
0,0.7,20,25,75,50,31,1.1363636363636365,0.0967741935483871,0.2903225806451613,9,22,8,1,22
0,1.0,5,20,50,10,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,20,50,25,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,20,50,50,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,20,60,10,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,20,60,25,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,20,60,50,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,20,75,10,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,20,75,25,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,20,75,50,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,50,10,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,50,25,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,50,50,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,60,10,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,60,25,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,60,50,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,75,10,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,75,25,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,5,25,75,50,6,1.5,0.3333333333333333,0.3333333333333333,2,4,2,0,4
0,1.0,10,20,50,10,28,1.6666666666666667,0.42857142857142855,0.35714285714285715,10,18,10,0,18
0,1.0,10,20,50,25,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,1.0,10,20,50,50,24,1.8,0.5,0.375,9,15,9,0,15
0,1.0,10,20,60,10,28,1.6666666666666667,0.42857142857142855,0.35714285714285715,10,18,10,0,18
0,1.0,10,20,60,25,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,1.0,10,20,60,50,24,1.8,0.5,0.375,9,15,9,0,15
0,1.0,10,20,75,10,28,1.6666666666666667,0.42857142857142855,0.35714285714285715,10,18,10,0,18
0,1.0,10,20,75,25,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,1.0,10,20,75,50,24,1.8,0.5,0.375,9,15,9,0,15
0,1.0,10,25,50,10,28,1.6666666666666667,0.42857142857142855,0.35714285714285715,10,18,10,0,18
0,1.0,10,25,50,25,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,1.0,10,25,50,50,24,1.8,0.5,0.375,9,15,9,0,15
0,1.0,10,25,60,10,28,1.6666666666666667,0.42857142857142855,0.35714285714285715,10,18,10,0,18
0,1.0,10,25,60,25,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,1.0,10,25,60,50,24,1.8,0.5,0.375,9,15,9,0,15
0,1.0,10,25,75,10,28,1.6666666666666667,0.42857142857142855,0.35714285714285715,10,18,10,0,18
0,1.0,10,25,75,25,27,1.7647058823529411,0.48148148148148145,0.37037037037037035,10,17,10,0,17
0,1.0,10,25,75,50,24,1.8,0.5,0.375,9,15,9,0,15
