symbol,target_type,window,flags,n,settle_rate,win_rate,pf,total_pips,avg_pips,avg_settle_h,med_settle_h,avg_rr,med_rr,avg_dist,pct_timeout
EURUSD,offset,offset_03:00,EMA+H4|tier,201,82.6,83.6,2.72,1134.0,5.6,1.9,0.2,0.15,0.33,11.1,4.5
EURUSD,offset,offset_05:00,H4+LLR|1:1.5,313,73.5,75.4,2.72,2241.0,7.2,3.0,1.0,0.28,0.67,16.1,7.0
EURUSD,offset,offset_08:00,LLR|1:1,569,67.3,68.5,2.72,3896.0,6.8,3.4,2.0,0.37,1.0,15.7,3.3
EURUSD,offset,offset_03:00,EMA+H4+LLR|1:2,159,77.4,78.6,2.71,910.0,5.7,2.0,0.2,0.19,0.5,11.7,3.8
EURUSD,offset,offset_04:00,EMA|1:1,294,65.3,65.6,2.71,1537.0,5.2,1.6,0.1,0.32,1.0,11.7,1.4
EURUSD,offset,offset_04:00,EMA+LLR|1:1,233,64.4,64.8,2.71,1233.0,5.3,1.7,0.2,0.3,1.0,11.9,1.7
EURUSD,offset,offset_07:00,H4+CLU+LLR|tier,128,75.0,78.1,2.7,1759.0,13.7,6.5,5.0,0.2,0.33,30.4,18.0
EURUSD,offset,offset_06:00,H4+LLR|1:1,316,67.1,68.0,2.69,2362.0,7.5,3.3,2.2,0.37,1.0,17.3,3.5
EURUSD,offset,offset_07:00,LLR|1:1,566,69.1,70.0,2.69,3825.0,6.8,3.3,1.5,0.41,1.0,15.7,3.2
EURUSD,offset,offset_04:00,H4|1:1.5,419,75.9,76.8,2.68,2813.0,6.7,2.6,1.0,0.31,0.67,15.2,6.7
EURUSD,offset,offset_04:00,H4|1:2,419,79.2,80.2,2.68,2886.0,6.9,2.8,1.0,0.25,0.5,15.2,7.4
EURUSD,offset,offset_08:00,CLU|1:2,283,72.8,76.0,2.68,3638.0,12.9,6.5,4.5,0.21,0.5,28.5,16.3
EURUSD,offset,offset_05:00,RAW|1:1.5,777,74.4,75.5,2.67,5330.0,6.9,3.2,1.1,0.28,0.67,15.1,5.5
EURUSD,offset,offset_03:00,EMA+H4|1:2,201,77.6,78.6,2.66,1086.0,5.4,1.8,0.2,0.19,0.5,11.1,3.0
EURUSD,offset,offset_05:00,RAW|1:1,777,68.0,69.0,2.66,5045.0,6.5,3.0,1.2,0.38,1.0,15.1,2.7
EURUSD,offset,offset_08:00,CLU|tier,283,73.9,77.0,2.66,3656.0,12.9,6.6,4.5,0.18,0.33,28.5,20.5
EURUSD,offset,offset_08:00,CLU+LLR|1:1,207,65.2,68.6,2.65,2452.0,11.8,6.7,5.0,0.38,1.0,28.7,8.7
EURUSD,offset,offset_03:00,EMA+H4|1:1,201,65.7,66.2,2.64,978.0,4.9,1.4,0.2,0.32,1.0,11.1,1.0
EURUSD,offset,offset_04:00,EMA+LLR|1:1.5,233,73.0,73.4,2.64,1305.0,5.6,1.9,0.2,0.24,0.67,11.9,2.6
EURUSD,offset,offset_05:00,CLU|1:1.5,266,71.8,74.8,2.64,3274.0,12.3,6.8,4.5,0.3,0.67,28.6,14.3
EURUSD,offset,offset_05:00,H4+CLU+LLR|1:1,102,66.7,70.6,2.64,1333.0,13.1,6.5,4.1,0.43,1.0,32.5,11.8
EURUSD,offset,offset_08:00,H4+CLU+LLR|1:1,134,65.7,68.7,2.64,1670.0,12.5,6.0,4.2,0.38,1.0,30.2,8.2
EURUSD,offset,offset_08:00,H4+CLU+LLR|tier,134,73.1,76.9,2.63,1791.0,13.4,6.8,5.0,0.18,0.33,30.2,20.9
EURUSD,offset,offset_06:00,RAW|1:1.5,776,74.2,75.3,2.62,5471.0,7.0,3.4,1.8,0.28,0.67,15.8,5.7
EURUSD,offset,offset_07:00,CLU|tier,282,75.2,77.7,2.61,3572.0,12.7,6.6,5.0,0.18,0.33,28.2,18.1
EURUSD,offset,offset_05:00,H4+LLR|1:1,313,66.1,67.7,2.6,2069.0,6.6,2.9,1.0,0.36,1.0,16.1,4.2
EURUSD,offset,offset_06:00,H4+CLU+LLR|tier,118,72.0,74.6,2.6,1596.0,13.5,6.9,5.0,0.18,0.33,31.6,22.0
EURUSD,offset,offset_06:00,H4+CLU+LLR|1:2,118,72.0,74.6,2.6,1598.0,13.5,6.9,5.0,0.21,0.5,31.6,17.8
EURUSD,offset,offset_08:00,CLU+LLR|tier,207,72.9,76.8,2.6,2622.0,12.7,7.4,5.5,0.18,0.33,28.7,21.7
EURUSD,offset,offset_04:00,RAW|tier,776,81.2,82.3,2.59,5192.0,6.7,3.4,1.0,0.15,0.33,14.5,8.4
EURUSD,offset,offset_05:00,CLU+LLR|1:1.5,186,71.0,74.7,2.59,2250.0,12.1,7.8,7.8,0.3,0.67,29.0,15.6
EURUSD,offset,offset_05:00,H4+LLR|1:2,313,76.4,78.3,2.59,2215.0,7.1,3.1,1.0,0.21,0.5,16.1,8.3
EURUSD,offset,offset_08:00,CLU+LLR|1:2,207,71.5,75.4,2.59,2582.0,12.5,7.3,5.2,0.2,0.5,28.7,17.9
EURUSD,offset,offset_04:00,LLR|tier,582,81.3,82.5,2.58,3832.0,6.6,3.7,1.0,0.16,0.33,14.3,8.4
EURUSD,offset,offset_04:00,EMA+H4+CLU|1:1.5,50,70.0,70.0,2.58,681.0,13.6,3.9,3.0,0.22,0.67,30.6,8.0
EURUSD,offset,offset_05:00,CLU+LLR|1:2,186,72.0,75.8,2.57,2274.0,12.2,7.8,7.8,0.22,0.5,29.0,19.9
EURUSD,offset,offset_07:00,CLU+LLR|1:1,203,66.5,69.0,2.57,2350.0,11.6,6.6,5.2,0.39,1.0,28.4,7.9
EURUSD,offset,offset_09:00,CLU+LLR|1:1,216,64.8,68.1,2.57,2473.0,11.4,6.2,4.5,0.37,1.0,28.3,7.9
EURUSD,offset,offset_04:00,EMA+H4+CLU+LLR|1:1.5,42,69.0,69.0,2.55,588.0,14.0,4.1,3.0,0.22,0.67,32.1,9.5
EURUSD,offset,offset_04:00,EMA+H4+CLU|tier,50,76.0,76.0,2.54,708.0,14.2,4.9,3.0,0.16,0.33,30.6,16.0
